135,545549
135,348602
135,302825
135,383096
135,390485
135,372118
135,434215
135,704754
135,751732
135,801946
135,857295
135,816420
135,721323
135,794638
135,833600
135,854014
135,862229
135,875183
135,919737
136,001582
136,044511
136,289970
135,978391
136,038251
136,107514
136,009829
136,070527
136,146430
136,207258
136,150903
136,167089
136,171297
136,166535
136,330857
136,451075
136,446703
136,520262
136,490619
136,480401 --> bozuldu
136,335430
136,554006
135,754427
136,057479
136,117143
135,974322
136,122051
136,153174
135,896256
136,079541
135,858927
136,080645
136,148619
136,268245
136,134606
136,093798
136,180929
136,250900
136,242682
136,178857
136,064615
136,162361
136,217528
136,113953
136,213684
136,148536
136,127907
136,177947
136,169804
136,186408
136,063413
135,973917
136,086965
136,192429
136,135275
136,226883
136,047559
136,145180
135,987158
136,111482
136,035308
136,161282
136,326438
136,209036
136,195453
136,319751
136,419304
136,269998
136,343539
136,414343
136,260592
136,203455||06.01.2017 16:34:48||2017-01-06 16:36:07
136,370367||06.01.2017 16:37:26||2017-01-06 16:38:08
136,340386||06.01.2017 16:39:27||2017-01-06 16:40:08
